Span Loc(m)	Chord(m)	IB Height(m)	IB Width(m)	Web Height(m)	Web Width(m)	IB Area(m2)	Moment(Nm)	Wing Weight(N/m)
0.000000	0.520000	0.039000	0.069160	0.020436	0.001000	0.001304	1061.032954	44.538681
0.002000	0.520000	0.039000	0.069160	0.020462	0.001000	0.001303	1060.033209	44.491077
0.004000	0.520000	0.039000	0.069160	0.020488	0.001000	0.001301	1059.033973	44.443532
0.006000	0.520000	0.039000	0.069160	0.020514	0.001000	0.001299	1058.035246	44.396046
0.008000	0.519999	0.039000	0.069160	0.020540	0.001000	0.001297	1057.037028	44.348620
0.010000	0.519999	0.039000	0.069160	0.020566	0.001000	0.001295	1056.039320	44.301252
0.012000	0.519999	0.039000	0.069160	0.020592	0.001000	0.001294	1055.042121	44.253944
0.014000	0.519998	0.039000	0.069160	0.020618	0.001000	0.001292	1054.045432	44.206695
0.016000	0.519997	0.039000	0.069160	0.020643	0.001000	0.001290	1053.049251	44.159505
0.018000	0.519997	0.039000	0.069160	0.020669	0.001000	0.001288	1052.053580	44.112374
0.020000	0.519996	0.039000	0.069159	0.020695	0.001000	0.001287	1051.058419	44.065303
0.022000	0.519995	0.039000	0.069159	0.020721	0.001000	0.001285	1050.063766	44.018291
0.024000	0.519994	0.039000	0.069159	0.020746	0.001000	0.001283	1049.069623	43.971338
0.026000	0.519993	0.038999	0.069159	0.020772	0.001000	0.001281	1048.075989	43.924444
0.028000	0.519992	0.038999	0.069159	0.020797	0.001000	0.001280	1047.082865	43.877610
0.030000	0.519991	0.038999	0.069159	0.020823	0.001000	0.001278	1046.090250	43.830836
0.032000	0.519989	0.038999	0.069159	0.020848	0.001000	0.001276	1045.098144	43.784121
0.034000	0.519988	0.038999	0.069158	0.020874	0.001000	0.001274	1044.106547	43.737465
0.036000	0.519987	0.038999	0.069158	0.020899	0.001000	0.001273	1043.115460	43.690869
0.038000	0.519985	0.038999	0.069158	0.020924	0.001000	0.001271	1042.124881	43.644332
0.040000	0.519983	0.038999	0.069158	0.020950	0.001000	0.001269	1041.134813	43.597855
0.042000	0.519982	0.038999	0.069158	0.020975	0.001000	0.001267	1040.145253	43.551437
0.044000	0.519980	0.038998	0.069157	0.021000	0.001000	0.001266	1039.156203	43.505079
0.046000	0.519978	0.038998	0.069157	0.021025	0.001000	0.001264	1038.167662	43.458781
0.048000	0.519976	0.038998	0.069157	0.021050	0.001000	0.001262	1037.179630	43.412542
0.050000	0.519974	0.038998	0.069157	0.021075	0.001000	0.001261	1036.192108	43.366362
0.052000	0.519972	0.038998	0.069156	0.021100	0.001000	0.001259	1035.205094	43.320242
0.054000	0.519970	0.038998	0.069156	0.021125	0.001000	0.001257	1034.218590	43.274182
0.056000	0.519967	0.038998	0.069156	0.021150	0.001000	0.001255	1033.232596	43.228182
0.058000	0.519965	0.038997	0.069155	0.021175	0.001000	0.001254	1032.247110	43.182241
0.060000	0.519963	0.038997	0.069155	0.021200	0.001000	0.001252	1031.262134	43.136359
0.062000	0.519960	0.038997	0.069155	0.021225	0.001000	0.001250	1030.277667	43.090538
0.064000	0.519957	0.038997	0.069154	0.021250	0.001000	0.001249	1029.293710	43.044776
0.066000	0.519955	0.038997	0.069154	0.021275	0.001000	0.001247	1028.310261	42.999073
0.068000	0.519952	0.038996	0.069154	0.021299	0.001000	0.001245	1027.327322	42.953431
0.070000	0.519949	0.038996	0.069153	0.021324	0.001000	0.001243	1026.344893	42.907847
0.072000	0.519946	0.038996	0.069153	0.021348	0.001000	0.001242	1025.362972	42.862324
0.074000	0.519943	0.038996	0.069152	0.021373	0.001000	0.001240	1024.381561	42.816860
0.076000	0.519940	0.038995	0.069152	0.021398	0.001000	0.001238	1023.400658	42.771456
0.078000	0.519937	0.038995	0.069152	0.021422	0.001000	0.001237	1022.420266	42.726111
0.080000	0.519933	0.038995	0.069151	0.021446	0.001000	0.001235	1021.440382	42.680826
0.082000	0.519930	0.038995	0.069151	0.021471	0.001000	0.001233	1020.461007	42.635601
0.084000	0.519927	0.038994	0.069150	0.021495	0.001000	0.001232	1019.482142	42.590435
0.086000	0.519923	0.038994	0.069150	0.021520	0.001000	0.001230	1018.503786	42.545329
0.088000	0.519919	0.038994	0.069149	0.021544	0.001000	0.001228	1017.525940	42.500283
0.090000	0.519916	0.038994	0.069149	0.021568	0.001000	0.001227	1016.548602	42.455296
0.092000	0.519912	0.038993	0.069148	0.021592	0.001000	0.001225	1015.571774	42.410369
0.094000	0.519908	0.038993	0.069148	0.021616	0.001000	0.001223	1014.595455	42.365501
0.096000	0.519904	0.038993	0.069147	0.021640	0.001000	0.001222	1013.619645	42.320693
0.098000	0.519900	0.038993	0.069147	0.021665	0.001000	0.001220	1012.644344	42.275944
0.100000	0.519896	0.038992	0.069146	0.021689	0.001000	0.001218	1011.669552	42.231255
0.102000	0.519892	0.038992	0.069146	0.021712	0.001000	0.001217	1010.695270	42.186625
0.104000	0.519888	0.038992	0.069145	0.021736	0.001000	0.001215	1009.721497	42.142055
0.106000	0.519883	0.038991	0.069144	0.021760	0.001000	0.001213	1008.748233	42.097544
0.108000	0.519879	0.038991	0.069144	0.021784	0.001000	0.001212	1007.775478	42.053093
0.110000	0.519874	0.038991	0.069143	0.021808	0.001000	0.001210	1006.803233	42.008701
0.112000	0.519870	0.038990	0.069143	0.021832	0.001000	0.001208	1005.831496	41.964369
0.114000	0.519865	0.038990	0.069142	0.021855	0.001000	0.001207	1004.860269	41.920096
0.116000	0.519860	0.038990	0.069141	0.021879	0.001000	0.001205	1003.889551	41.875883
0.118000	0.519855	0.038989	0.069141	0.021903	0.001000	0.001203	1002.919342	41.831728
0.120000	0.519850	0.038989	0.069140	0.021926	0.001000	0.001202	1001.949642	41.787634
0.122000	0.519845	0.038988	0.069139	0.021950	0.001000	0.001200	1000.980452	41.743598
0.124000	0.519840	0.038988	0.069139	0.021973	0.001000	0.001198	1000.011770	41.699622
0.126000	0.519835	0.038988	0.069138	0.021997	0.001000	0.001197	999.043598	41.655705
0.128000	0.519830	0.038987	0.069137	0.022020	0.001000	0.001195	998.075935	41.611847
0.130000	0.519824	0.038987	0.069137	0.022044	0.001000	0.001193	997.108781	41.568048
0.132000	0.519819	0.038986	0.069136	0.022067	0.001000	0.001192	996.142136	41.524309
0.134000	0.519813	0.038986	0.069135	0.022090	0.001000	0.001190	995.176000	41.480629
0.136000	0.519808	0.038986	0.069134	0.022114	0.001000	0.001189	994.210373	41.437007
0.138000	0.519802	0.038985	0.069134	0.022137	0.001000	0.001187	993.245256	41.393445
0.140000	0.519796	0.038985	0.069133	0.022160	0.001000	0.001185	992.280647	41.349942
0.142000	0.519790	0.038984	0.069132	0.022183	0.001000	0.001184	991.316548	41.306498
0.144000	0.519784	0.038984	0.069131	0.022206	0.001000	0.001182	990.352957	41.263113
0.146000	0.519778	0.038983	0.069131	0.022229	0.001000	0.001180	989.389876	41.219787
0.148000	0.519772	0.038983	0.069130	0.022252	0.001000	0.001179	988.427304	41.176520
0.150000	0.519766	0.038982	0.069129	0.022275	0.001000	0.001177	987.465241	41.133312
0.152000	0.519760	0.038982	0.069128	0.022298	0.001000	0.001176	986.503687	41.090162
0.154000	0.519753	0.038981	0.069127	0.022321	0.001000	0.001174	985.542642	41.047071
0.156000	0.519747	0.038981	0.069126	0.022344	0.001000	0.001172	984.582106	41.004039
0.158000	0.519740	0.038981	0.069125	0.022367	0.001000	0.001171	983.622079	40.961066
0.160000	0.519734	0.038980	0.069125	0.022389	0.001000	0.001169	982.662561	40.918152
0.162000	0.519727	0.038980	0.069124	0.022412	0.001000	0.001168	981.703553	40.875296
0.164000	0.519720	0.038979	0.069123	0.022435	0.001000	0.001166	980.745053	40.832499
0.166000	0.519713	0.038979	0.069122	0.022457	0.001000	0.001164	979.787062	40.789760
0.168000	0.519706	0.038978	0.069121	0.022480	0.001000	0.001163	978.829581	40.747080
0.170000	0.519699	0.038977	0.069120	0.022503	0.001000	0.001161	977.872608	40.704458
0.172000	0.519692	0.038977	0.069119	0.022525	0.001000	0.001160	976.916144	40.661895
0.174000	0.519685	0.038976	0.069118	0.022548	0.001000	0.001158	975.960189	40.619390
0.176000	0.519678	0.038976	0.069117	0.022570	0.001000	0.001156	975.004744	40.576944
0.178000	0.519670	0.038975	0.069116	0.022592	0.001000	0.001155	974.049807	40.534555
0.180000	0.519663	0.038975	0.069115	0.022615	0.001000	0.001153	973.095379	40.492225
0.182000	0.519655	0.038974	0.069114	0.022637	0.001000	0.001152	972.141460	40.449954
0.184000	0.519648	0.038974	0.069113	0.022659	0.001000	0.001150	971.188051	40.407740
0.186000	0.519640	0.038973	0.069112	0.022681	0.001000	0.001149	970.235150	40.365585
0.188000	0.519632	0.038972	0.069111	0.022704	0.001000	0.001147	969.282758	40.323487
0.190000	0.519624	0.038972	0.069110	0.022726	0.001000	0.001145	968.330875	40.281448
0.192000	0.519616	0.038971	0.069109	0.022748	0.001000	0.001144	967.379501	40.239466
0.194000	0.519608	0.038971	0.069108	0.022770	0.001000	0.001142	966.428635	40.197543
0.196000	0.519600	0.038970	0.069107	0.022792	0.001000	0.001141	965.478279	40.155677
0.198000	0.519592	0.038969	0.069106	0.022814	0.001000	0.001139	964.528432	40.113869
0.200000	0.519584	0.038969	0.069105	0.022836	0.001000	0.001138	963.579093	40.072119
0.202000	0.519575	0.038968	0.069104	0.022858	0.001000	0.001136	962.630264	40.030427
0.204000	0.519567	0.038968	0.069102	0.022880	0.001000	0.001135	961.681943	39.988792
0.206000	0.519558	0.038967	0.069101	0.022901	0.001000	0.001133	960.734131	39.947215
0.208000	0.519550	0.038966	0.069100	0.022923	0.001000	0.001131	959.786828	39.905696
0.210000	0.519541	0.038966	0.069099	0.022945	0.001000	0.001130	958.840034	39.864234
0.212000	0.519532	0.038965	0.069098	0.022967	0.001000	0.001128	957.893749	39.822829
0.214000	0.519524	0.038964	0.069097	0.022988	0.001000	0.001127	956.947973	39.781482
0.216000	0.519515	0.038964	0.069095	0.023010	0.001000	0.001125	956.002705	39.740192
0.218000	0.519506	0.038963	0.069094	0.023031	0.001000	0.001124	955.057946	39.698959
0.220000	0.519496	0.038962	0.069093	0.023053	0.001000	0.001122	954.113696	39.657784
0.222000	0.519487	0.038962	0.069092	0.023074	0.001000	0.001121	953.169955	39.616666
0.224000	0.519478	0.038961	0.069091	0.023096	0.001000	0.001119	952.226723	39.575604
0.226000	0.519469	0.038960	0.069089	0.023117	0.001000	0.001118	951.283999	39.534600
0.228000	0.519459	0.038959	0.069088	0.023139	0.001000	0.001116	950.341785	39.493653
0.230000	0.519450	0.038959	0.069087	0.023160	0.001000	0.001115	949.400079	39.452763
0.232000	0.519440	0.038958	0.069086	0.023181	0.001000	0.001113	948.458881	39.411930
0.234000	0.519430	0.038957	0.069084	0.023203	0.001000	0.001112	947.518193	39.371153
0.236000	0.519420	0.038957	0.069083	0.023224	0.001000	0.001110	946.578013	39.330433
0.238000	0.519411	0.038956	0.069082	0.023245	0.001000	0.001109	945.638342	39.289770
0.240000	0.519401	0.038955	0.069080	0.023266	0.001000	0.001107	944.699180	39.249163
0.242000	0.519391	0.038954	0.069079	0.023287	0.001000	0.001106	943.760526	39.208613
0.244000	0.519380	0.038954	0.069078	0.023308	0.001000	0.001104	942.822381	39.168120
0.246000	0.519370	0.038953	0.069076	0.023329	0.001000	0.001103	941.884745	39.127683
0.248000	0.519360	0.038952	0.069075	0.023350	0.001000	0.001101	940.947617	39.087302
0.250000	0.519350	0.038951	0.069073	0.023371	0.001000	0.001100	940.010998	39.046978
