Span Loc(m)	Chord(m)	IB Height(m)	IB Width(m)	Web Height(m)	Web Width(m)	IB Area(m2)	Moment(Nm)	Wing Weight(N/m)
0.000000	4.000000	0.300000	0.532000	0.296000	0.001000	0.002424	4244.131816	139.001771
0.002000	4.000000	0.300000	0.532000	0.296000	0.001000	0.002424	4243.131879	139.001770
0.004000	4.000000	0.300000	0.532000	0.296000	0.001000	0.002424	4242.132070	139.001768
0.006000	4.000000	0.300000	0.532000	0.296000	0.001000	0.002424	4241.132389	139.001765
0.008000	4.000000	0.300000	0.532000	0.296000	0.001000	0.002424	4240.132834	139.001760
0.010000	3.999999	0.300000	0.532000	0.296000	0.001000	0.002424	4239.133407	139.001753
0.012000	3.999999	0.300000	0.532000	0.296000	0.001000	0.002424	4238.134108	139.001746
0.014000	3.999999	0.300000	0.532000	0.296000	0.001000	0.002424	4237.134935	139.001737
0.016000	3.999999	0.300000	0.532000	0.296000	0.001000	0.002424	4236.135890	139.001726
0.018000	3.999998	0.300000	0.532000	0.296000	0.001000	0.002424	4235.136972	139.001714
0.020000	3.999998	0.300000	0.532000	0.296000	0.001000	0.002424	4234.138182	139.001701
0.022000	3.999998	0.300000	0.532000	0.296000	0.001000	0.002424	4233.139519	139.001687
0.024000	3.999997	0.300000	0.532000	0.296000	0.001000	0.002424	4232.140983	139.001671
0.026000	3.999997	0.300000	0.532000	0.296000	0.001000	0.002424	4231.142575	139.001653
0.028000	3.999996	0.300000	0.531999	0.296000	0.001000	0.002424	4230.144294	139.001634
0.030000	3.999995	0.300000	0.531999	0.296000	0.001000	0.002424	4229.146140	139.001614
0.032000	3.999995	0.300000	0.531999	0.296000	0.001000	0.002424	4228.148113	139.001593
0.034000	3.999994	0.300000	0.531999	0.296000	0.001000	0.002424	4227.150214	139.001570
0.036000	3.999994	0.300000	0.531999	0.296000	0.001000	0.002424	4226.152442	139.001545
0.038000	3.999993	0.299999	0.531999	0.295999	0.001000	0.002424	4225.154798	139.001520
0.040000	3.999992	0.299999	0.531999	0.295999	0.001000	0.002424	4224.157281	139.001493
0.042000	3.999991	0.299999	0.531999	0.295999	0.001000	0.002424	4223.159891	139.001464
0.044000	3.999990	0.299999	0.531999	0.295999	0.001000	0.002424	4222.162628	139.001434
0.046000	3.999989	0.299999	0.531999	0.295999	0.001000	0.002424	4221.165493	139.001403
0.048000	3.999988	0.299999	0.531998	0.295999	0.001000	0.002424	4220.168485	139.001370
0.050000	3.999987	0.299999	0.531998	0.295999	0.001000	0.002424	4219.171604	139.001336
0.052000	3.999986	0.299999	0.531998	0.295999	0.001000	0.002424	4218.174851	139.001301
0.054000	3.999985	0.299999	0.531998	0.295999	0.001000	0.002424	4217.178225	139.001264
0.056000	3.999984	0.299999	0.531998	0.295999	0.001000	0.002424	4216.181727	139.001225
0.058000	3.999983	0.299999	0.531998	0.295999	0.001000	0.002424	4215.185355	139.001186
0.060000	3.999982	0.299999	0.531998	0.295999	0.001000	0.002424	4214.189112	139.001145
0.062000	3.999981	0.299999	0.531997	0.295999	0.001000	0.002424	4213.192995	139.001102
0.064000	3.999980	0.299998	0.531997	0.295998	0.001000	0.002424	4212.197006	139.001059
0.066000	3.999978	0.299998	0.531997	0.295998	0.001000	0.002424	4211.201144	139.001013
0.068000	3.999977	0.299998	0.531997	0.295998	0.001000	0.002424	4210.205409	139.000967
0.070000	3.999975	0.299998	0.531997	0.295998	0.001000	0.002424	4209.209802	139.000919
0.072000	3.999974	0.299998	0.531997	0.295998	0.001000	0.002424	4208.214322	139.000869
0.074000	3.999973	0.299998	0.531996	0.295998	0.001000	0.002424	4207.218969	139.000819
0.076000	3.999971	0.299998	0.531996	0.295998	0.001000	0.002424	4206.223744	139.000766
0.078000	3.999970	0.299998	0.531996	0.295998	0.001000	0.002424	4205.228646	139.000713
0.080000	3.999968	0.299998	0.531996	0.295998	0.001000	0.002424	4204.233675	139.000658
0.082000	3.999966	0.299997	0.531996	0.295997	0.001000	0.002424	4203.238831	139.000602
0.084000	3.999965	0.299997	0.531995	0.295997	0.001000	0.002424	4202.244115	139.000544
0.086000	3.999963	0.299997	0.531995	0.295997	0.001000	0.002424	4201.249527	139.000485
0.088000	3.999961	0.299997	0.531995	0.295997	0.001000	0.002424	4200.255065	139.000424
0.090000	3.999959	0.299997	0.531995	0.295997	0.001000	0.002424	4199.260731	139.000362
0.092000	3.999958	0.299997	0.531994	0.295997	0.001000	0.002424	4198.266524	139.000299
0.094000	3.999956	0.299997	0.531994	0.295997	0.001000	0.002424	4197.272445	139.000234
0.096000	3.999954	0.299997	0.531994	0.295997	0.001000	0.002424	4196.278493	139.000168
0.098000	3.999952	0.299996	0.531994	0.295996	0.001000	0.002424	4195.284668	139.000101
0.100000	3.999950	0.299996	0.531993	0.295996	0.001000	0.002424	4194.290970	139.000032
0.102000	3.999948	0.299996	0.531993	0.295996	0.001000	0.002424	4193.297400	138.999962
0.104000	3.999946	0.299996	0.531993	0.295996	0.001000	0.002424	4192.303957	138.999890
0.106000	3.999944	0.299996	0.531993	0.295996	0.001000	0.002424	4191.310642	138.999817
0.108000	3.999942	0.299996	0.531992	0.295996	0.001000	0.002424	4190.317454	138.999743
0.110000	3.999939	0.299995	0.531992	0.295995	0.001000	0.002424	4189.324393	138.999667
0.112000	3.999937	0.299995	0.531992	0.295995	0.001000	0.002424	4188.331459	138.999590
0.114000	3.999935	0.299995	0.531991	0.295995	0.001000	0.002424	4187.338653	138.999511
0.116000	3.999933	0.299995	0.531991	0.295995	0.001000	0.002424	4186.345974	138.999431
0.118000	3.999930	0.299995	0.531991	0.295995	0.001000	0.002424	4185.353422	138.999350
0.120000	3.999928	0.299995	0.531990	0.295995	0.001000	0.002424	4184.360998	138.999267
0.122000	3.999926	0.299994	0.531990	0.295994	0.001000	0.002424	4183.368701	138.999183
0.124000	3.999923	0.299994	0.531990	0.295994	0.001000	0.002424	4182.376532	138.999097
0.126000	3.999921	0.299994	0.531989	0.295994	0.001000	0.002424	4181.384489	138.999010
0.128000	3.999918	0.299994	0.531989	0.295994	0.001000	0.002424	4180.392574	138.998922
0.130000	3.999915	0.299994	0.531989	0.295994	0.001000	0.002424	4179.400787	138.998832
0.132000	3.999913	0.299993	0.531988	0.295993	0.001000	0.002424	4178.409126	138.998741
0.134000	3.999910	0.299993	0.531988	0.295993	0.001000	0.002424	4177.417593	138.998648
0.136000	3.999908	0.299993	0.531988	0.295993	0.001000	0.002424	4176.426188	138.998555
0.138000	3.999905	0.299993	0.531987	0.295993	0.001000	0.002424	4175.434909	138.998459
0.140000	3.999902	0.299993	0.531987	0.295993	0.001000	0.002424	4174.443758	138.998363
0.142000	3.999899	0.299992	0.531987	0.295992	0.001000	0.002424	4173.452734	138.998265
0.144000	3.999896	0.299992	0.531986	0.295992	0.001000	0.002424	4172.461838	138.998165
0.146000	3.999893	0.299992	0.531986	0.295992	0.001000	0.002424	4171.471069	138.998064
0.148000	3.999890	0.299992	0.531985	0.295992	0.001000	0.002424	4170.480427	138.997962
0.150000	3.999887	0.299992	0.531985	0.295992	0.001000	0.002424	4169.489913	138.997858
0.152000	3.999884	0.299991	0.531985	0.295991	0.001000	0.002424	4168.499526	138.997753
0.154000	3.999881	0.299991	0.531984	0.295991	0.001000	0.002424	4167.509266	138.997647
0.156000	3.999878	0.299991	0.531984	0.295991	0.001000	0.002424	4166.519133	138.997539
0.158000	3.999875	0.299991	0.531983	0.295991	0.001000	0.002424	4165.529128	138.997430
0.160000	3.999872	0.299990	0.531983	0.295990	0.001000	0.002424	4164.539250	138.997319
0.162000	3.999869	0.299990	0.531983	0.295990	0.001000	0.002424	4163.549500	138.997207
0.164000	3.999866	0.299990	0.531982	0.295990	0.001000	0.002424	4162.559877	138.997094
0.166000	3.999862	0.299990	0.531982	0.295990	0.001000	0.002424	4161.570381	138.996979
0.168000	3.999859	0.299989	0.531981	0.295989	0.001000	0.002424	4160.581012	138.996863
0.170000	3.999855	0.299989	0.531981	0.295989	0.001000	0.002424	4159.591771	138.996745
0.172000	3.999852	0.299989	0.531980	0.295989	0.001000	0.002424	4158.602657	138.996626
0.174000	3.999849	0.299989	0.531980	0.295989	0.001000	0.002424	4157.613670	138.996506
0.176000	3.999845	0.299988	0.531979	0.295988	0.001000	0.002424	4156.624811	138.996384
0.178000	3.999842	0.299988	0.531979	0.295988	0.001000	0.002424	4155.636079	138.996261
0.180000	3.999838	0.299988	0.531978	0.295988	0.001000	0.002424	4154.647474	138.996137
0.182000	3.999834	0.299988	0.531978	0.295988	0.001000	0.002424	4153.658997	138.996011
0.184000	3.999831	0.299987	0.531977	0.295987	0.001000	0.002424	4152.670647	138.995884
0.186000	3.999827	0.299987	0.531977	0.295987	0.001000	0.002424	4151.682424	138.995755
0.188000	3.999823	0.299987	0.531976	0.295987	0.001000	0.002424	4150.694329	138.995625
0.190000	3.999819	0.299986	0.531976	0.295986	0.001000	0.002424	4149.706361	138.995493
0.192000	3.999816	0.299986	0.531975	0.295986	0.001000	0.002424	4148.718520	138.995361
0.194000	3.999812	0.299986	0.531975	0.295986	0.001000	0.002424	4147.730807	138.995226
